,Epoch,MSE,Learning rate
0,0,0.37455368770255903,1
1,1,0.1280913013873286,1
2,2,0.11530895189183657,1
3,3,0.06024071582226602,1
4,4,0.02143564160539173,1
5,5,0.015321640079253216,1
6,6,0.01343422081535224,1
7,7,0.012716259122215455,1
8,8,0.012404671016141589,1
9,9,0.012235477122050694,1
10,10,0.012122791775761813,1
11,11,0.012033383757998159,1
12,12,0.011957243481864695,1
13,13,0.011885528693158851,1
14,14,0.011811209545799027,1
15,15,0.01173173059751356,1
16,16,0.01164000924222446,1
17,17,0.011529866928524781,1
18,18,0.011388280726663891,1
19,19,0.011191230476261346,1
20,20,0.010932455967241501,1
21,21,0.010691056053772508,1
22,22,0.010383372960352629,1
23,23,0.009998687542020724,1
24,24,0.009538995486600171,1
25,25,0.009006448388748542,1
26,26,0.008412437511562202,1
27,27,0.007769370149080565,1
28,28,0.007155458684285462,1
29,29,0.006612044222343743,1
30,30,0.006163533937308143,1
31,31,0.005839630728587508,1
32,32,0.005622564176608977,1
33,33,0.005491165332133561,1
34,34,0.0054148074810118334,1
35,35,0.0053706876962201396,1
36,36,0.005343338255636913,1
37,37,0.005324608679731056,1
38,38,0.005309689988011922,1
39,39,0.00529762617833378,1
40,40,0.005262269913772365,1
41,41,0.005258911942440986,1
42,42,0.005255114547641123,1
43,43,0.005249605031748928,1
44,44,0.005244006282558329,1
45,45,0.005238708726046455,1
46,46,0.005233838747266955,1
47,47,0.005229265984437871,1
48,48,0.005224822273241264,1
49,49,0.005220743187237531,1
50,50,0.00521707746675467,1
51,51,0.005213587857843911,1
52,52,0.0052103625083739155,1
53,53,0.005207399730799628,1
54,54,0.0052044506282087595,1
55,55,0.005201767139579551,1
56,56,0.005199184619294877,1
57,57,0.005196848174282273,1
58,58,0.0051946206820831006,1
59,59,0.005192442446447084,1
60,60,0.005172328203324931,1
61,61,0.005173114312098926,1
62,62,0.005172750365359281,1
63,63,0.005171722910924219,1
64,64,0.005170503357371896,1
65,65,0.0051692507709720035,1
66,66,0.005167965650783668,1
67,67,0.005166769028664185,1
68,68,0.005165456012215801,1
69,69,0.005164264504259574,1
70,70,0.005163049238035455,1
71,71,0.005161873352633728,1
72,72,0.005160732834588461,1
73,73,0.005159602160794569,1
74,74,0.005158538771239797,1
75,75,0.005157441792524893,1
76,76,0.005156422205666294,1
77,77,0.00515538452576739,1
78,78,0.005154453493276855,1
79,79,0.00515345717707771,1
80,80,0.0051390504164880784,1
81,81,0.005139365157238437,1
82,82,0.0051391183643899555,1
83,83,0.005138639728519608,1
84,84,0.005138043819957214,1
85,85,0.005137390993367575,1
86,86,0.005136736065099687,1
87,87,0.005136036666655974,1
88,88,0.005135319537299945,1
89,89,0.005134604494354581,1
90,90,0.005133918567167473,1
91,91,0.005133220765140427,1
92,92,0.005132557586652272,1
93,93,0.005131893986874245,1
94,94,0.005131247613701175,1
95,95,0.00513062354217314,1
96,96,0.00512999981989107,1
97,97,0.005129388501089005,1
98,98,0.005128795155095028,1
99,99,0.0051282122258867946,1
